,ID_PARCEL_2022,SURF_PARC_2022,CODE_CULTU_2022,CODE_GROUP_2022,CULTURE_D1_2022,CULTURE_D2_2022,geometry,libelle_cultu_2022,CAMPAGNE_DEBUT_2022,CAMPAGNE_FIN_2022,libelle_d1_2022,libelle_d2_2022,area
1344112,8119774,0.9,MIS,2,,,"POLYGON ((540174.4560000002 6358109.338000003, 540174.2710000053 6358109.694000002, 540163.0170000046 6358138.4810000025, 540260.6040000021 6358197.713000003, 540332.9470000044 6358264.996000003, 540357.4420000017 6358238.7190000005, 540286.1939999983 6358161.087000001, 540267.0179999992 6358150.388, 540259.1850000024 6358145.759, 540226.8220000044 6358127.654000003, 540224.5680000037 6358126.703000002, 540176.0860000029 6358105.176000003, 540174.4560000002 6358109.338000003))",Maïs,2015,,,,8997.7972929263
880857,5321690,5.42,MIS,2,,,"POLYGON ((459178.1279999986 6260172.172000002, 459153.8049999997 6260238.165000003, 459132.02700000256 6260303.2200000025, 459095.8779999986 6260388.318, 459063.7780000046 6260463.123, 459069.4530000016 6260463.400000002, 459306.0460000038 6260474.959000003, 459305.7110000029 6260439.689000003, 459306.6169999987 6260303.9700000025, 459306.61400000006 6260179.046, 459179.35400000215 6260171.758000001, 459178.1279999986 6260172.172000002))",Maïs,2015,,,,54233.76998776458
1063864,6429688,9.27,MIS,2,,,"POLYGON ((590650.689000003 6232396.991, 590670.1670000032 6232390.528000001, 590717.6590000018 6232374.771000002, 590753.5310000032 6232362.869000003, 590837.3819999993 6232330.505000003, 590839.8220000044 6232329.674000002, 590913.9870000035 6232304.402000003, 590915.752000004 6232303.993000001, 590921.3999999985 6232302.682, 590922.814000003 6232302.354000002, 590927.9180000052 6232301.170000002, 590938.1730000004 6232298.791000001, 590950.2210000008 6232295.996000003, 591000.5680000037 6232284.316, 590971.9350000024 6232192.748, 590889.2019999996 6232021.801000003, 590888.9280000031 6232021.234000001, 590886.6400000006 6232022.006000001, 590862.826000005 6232030.039000001, 590847.2990000024 6232035.276000001, 590841.4640000015 6232037.244000003, 590840.1359999999 6232037.692000002, 590823.9280000031 6232043.159000002, 590813.8460000008 6232046.560000002, 590681.2349999994 6232091.290000003, 590632.6630000025 6232168.392000001, 590637.2290000021 6232221.637000002, 590637.2459999993 6232222.170000002, 590636.1030000001 6232275.988000002, 590635.9600000009 6232277.074000001, 590603.8030000031 6232408.043000001, 590650.689000003 6232396.991))",Maïs,2015,,,,92671.12322031718
